Poems for the gravedigger,,,"Note: Rewrite every sentence changing the subject by feminine, masculine and plural to add coherence to the poems.",
,,,"Once a subject has been chosen, the rest of sentences will appear with concordant genres.",
,,,,
,Masculine,Feminine,Plural,First Person
NATURE,,,,
PINE,,IN GAME,,
Normal,All but food for the pine roots.,All but food for the pine roots.,All but food for the pine roots.,All but food for the pine roots.
,Green needles to pierce his heart.,Green needles to pierce her heart.,Green needles to pierce their hearts.,Green needles to pierce my heart.
,Snow covered pines judge his crimes.,Snow covered pines judge her crimes.,Snow covered pines judge their crimes.,Snow covered pines judge my crimes.
If First,I hid from him in the forest.,I hid from her in the forest.,I hid from them in the forest.,I hid from myself in the forest.
If Second,Immortal trees to witness this ritual.,Immortal trees to witness this ritual.,Immortal trees to witness this ritual.,Immortal trees to witness this ritual.
If Third,"Return to nature, my beloved one.","Return to nature, my beloved one.","Return to nature, my beloved ones.","I return to nature, loved by noone."
,,,,
ROCK,,IN GAME,,
Normal,His head hit the solid ground.,Her head hit the solid ground.,Their head hit the solid ground.,My head hit the solid ground.
,Where he used to hide from dad.,Where she used to hide from dad.,Where they used to hide from dad.,Where I used to hide from dad.
,Smashed his chains to pieces.,Smashed her chains to pieces.,Smashed their chains to pieces.,Smashed my chains to pieces.
If First,He was made of stone.,She was made of stone.,They were made of stone.,I was made of stone.
If Second,His sins hidden beneath a rock.,Her sins hidden beneath a rock.,Their sins hidden beneath a rock.,My sins hidden beneath a rock.
If Third,I will sculpt him a tombstone.,I will sculpt her a tombstone.,I will sculpt them a tombstone.,I sculpted myself a tombstone.
,,,,
VULTURE,,NO SHIT,,
Normal,"They're coming for me too, Mom.","They're coming for me too, Mom.","They're coming for me too, Mom.","They're coming for me too, Mom."
,Probably smelling my rotting heart.,Probably smelling my rotting heart.,Probably smelling my rotting heart.,I can smell my rotting heart.
,I know that vulture is him.,I know this vulture is she.,I know those vultures are they.,I know the vultures are in my mind.
If First,"Save me for last, winged partners.","Save me for last, winged partners.","Save me for last, winged partners.","Save me for last, winged partners."
If Second,"His blood my sin, their beak my sentence.","Her blood my sin, their beak my sentence.","Their blood my sin, their beak my sentence.","My blood's my sin, but I got no sentence."
If Third,"Eat his skin, but leave me the bones.","Eat her skin, but leave me the bones.","Eat their skin, but leave me the bones.","Eat my skin, but leave my bones."
,,,,
PLAYER ITEMS / PLAYER GENERATED,,,,
CART,,,,
Normal,"Dad, let me take you for a stroll.","Mom, let me take you for a stroll.","Mom, Dad, let me take you for a stroll.","Sorry folks, let me leave without you."
,"My son, I wish you were the one driving.","My daughter, I wish you were the one driving.","My children, I wish you were the ones driving.","Kids, I hope you're de ones burying me."
,Let me pull your rotting body.,Let me pull your rotting body.,Let me pull your rotting bodies.,Someone pull my rotting body.
If First,Every step vanishes a memory.,Every step vanishes a memory.,Every step vanishes a memory.,Every step vanishes a memory.
If Second,Didn't expect vengeance to weight this much.,Didn't expect vengeance to weight this much.,Didn't expect vengeance to weight this much.,Why does vengeance weight this much.
If Third,"Even dead, he won't set me free.","Even dead, she won't set me free.","Even dead, they won't set me free.","Even dead, from myself won't ever free."
,,,,
COFFIN,,IN GAME,,
Normal,I wish this coffin was empty.,I wish this coffin was empty.,I wish this coffin was empty.,I wish my coffin was empty.
,I made his bed myself with oak.,I made her bed myself with oak.,I made their bed myself with oak.,I made my own bed with oak.
,He doesn't even deserve a box.,She doesn't even deserve a box.,They don't even deserve a box.,I don't even deserve a box.
If First,I had to dress him myself in a pine suit.,I had to dress her myself in a pine suit.,I had to dress them myself in a pine suit.,I dressed myself in a pine suit.
If Second,Closed it with sixteen nails.,Closed it with sixteen nails.,Closed it with sixteen nails.,Closed it with sixteen nails.
If Third,That's why I'm burying him alive.,That's why I'm burying she alive.,That's why I'm burying them alive.,That's why I'm being buried alive.
,,,,
OTHER GRAVE,,,,
Normal,If I dig enough I may bury him in hell.,If I dig enough I may bury her in hell.,If I dig enough I may bury them in hell.,If they dig enough I may end up deep in hell.
,He didn't deserve this.,She didn't deserve this.,They didn't deserve this.,I didn't deserve this.
,I only needed a bullet for him.,I only needed a bullet for her.,I only needed a bullet for each of them.,It only took a bullet to kill myself.
